iter	Passed	Remaining
950	43702	2251
951	43747	2205
952	43793	2159
953	43836	2113
954	43879	2067
955	43926	2021
956	43967	1975
957	44007	1929
958	44056	1883
959	44096	1837
960	44136	1791
961	44183	1745
962	44232	1699
963	44270	1653
964	44320	1607
965	44361	1561
966	44397	1515
967	44450	1469
968	44490	1423
969	44530	1377
970	44580	1331
971	44618	1285
972	44661	1239
973	44710	1193
974	44758	1147
975	44796	1101
976	44846	1055
977	44881	1009
978	44921	963
979	44972	917
980	45009	871
981	45053	825
982	45098	779
983	45141	734
984	45180	688
985	45226	642
986	45271	596
987	45321	550
988	45373	504
989	45417	458
990	45456	412
991	45506	366
992	45543	321
993	45586	275
994	45634	229
995	45675	183
996	45718	137
997	45767	91
998	45809	45
999	45850	0
